21786.5211013246,1,[r2+= r0]
21786.5211013246,2,[r2+= r0, r2+= r0]
21786.5211013246,3,[r2+= r0, r2+= r0, r2+= r0]
24050.5211013246,3,[r0+= r0, r2+= r0, r2+= r0]
21786.5211013246,3,[r2+= r1, r2+= r0, r2+= r0]
22000.5211013246,3,[r0+= r1, r2+= r0, r2+= r0]
21786.5211013246,3,[r2+= r2, r2+= r0, r2+= r0]
23010.5211013246,3,[r0+= r2, r2+= r0, r2+= r0]
21786.5211013246,3,[Sub r0 -> r2, r2+= r0, r2+= r0]
277.4788986754014,3,[Sub r0 -> r0, r2+= r0, r2+= r0]
277.4788986754014,3,[Sub r0 -> r0, r2+= r0, r2+= r0]
21786.5211013246,3,[Sub r1 -> r2, r2+= r0, r2+= r0]
22188.4788986754,3,[Sub r1 -> r0, r2+= r0, r2+= r0]
21786.5211013246,3,[Sub r2 -> r2, r2+= r0, r2+= r0]
23075.33676305167,3,[Sub r2 -> r0, r2+= r0, r2+= r0]
21786.5211013246,3,[Mul r0 -> r2, r2+= r0, r2+= r0]
42589.766654527964,3,[Mul r0 -> r0, r2+= r0, r2+= r0]
21786.5211013246,3,[Mul r1 -> r2, r2+= r0, r2+= r0]
31126.143877926283,3,[Mul r1 -> r0, r2+= r0, r2+= r0]
21786.5211013246,3,[Mul r2 -> r2, r2+= r0, r2+= r0]
41083.214945738146,3,[Mul r2 -> r0, r2+= r0, r2+= r0]
21786.5211013246,3,[Sin r2, r2+= r0, r2+= r0]
273.8768803974757,3,[Sin r0, r2+= r0, r2+= r0]
273.8768803974757,3,[Sin r0, r2+= r0, r2+= r0]
21786.5211013246,3,[Cos r2, r2+= r0, r2+= r0]
276.97134753644985,3,[Cos r0, r2+= r0, r2+= r0]
24050.5211013246,2,[r0+= r0, r2+= r0]
24050.5211013246,3,[r2+= r0, r0+= r0, r2+= r0]
28178.521101324597,3,[r0+= r0, r0+= r0, r2+= r0]
24050.5211013246,3,[r2+= r1, r0+= r0, r2+= r0]
24380.521101324597,3,[r0+= r1, r0+= r0, r2+= r0]
24050.5211013246,3,[r2+= r2, r0+= r0, r2+= r0]
26378.5211013246,3,[r0+= r2, r0+= r0, r2+= r0]
24050.5211013246,3,[Sub r0 -> r2, r0+= r0, r2+= r0]
277.4788986754014,3,[Sub r0 -> r0, r0+= r0, r2+= r0]
24050.5211013246,3,[Sub r1 -> r2, r0+= r0, r2+= r0]
24303.478898675403,3,[Sub r1 -> r0, r0+= r0, r2+= r0]
24050.5211013246,3,[Sub r2 -> r2, r0+= r0, r2+= r0]
26091.33676305167,3,[Sub r2 -> r0, r0+= r0, r2+= r0]
24050.5211013246,3,[Mul r0 -> r2, r0+= r0, r2+= r0]
45193.766654527964,3,[Mul r0 -> r0, r0+= r0, r2+= r0]
24050.5211013246,3,[Mul r1 -> r2, r0+= r0, r2+= r0]
32298.143877926283,3,[Mul r1 -> r0, r0+= r0, r2+= r0]
24050.5211013246,3,[Mul r2 -> r2, r0+= r0, r2+= r0]
42205.214945738146,3,[Mul r2 -> r0, r0+= r0, r2+= r0]
24050.5211013246,3,[Sin r2, r0+= r0, r2+= r0]
275.7383978764762,3,[Sin r0, r0+= r0, r2+= r0]
24050.5211013246,3,[Cos r2, r0+= r0, r2+= r0]
277.10863329138846,3,[Cos r0, r0+= r0, r2+= r0]
21786.5211013246,2,[r2+= r1, r2+= r0]
21786.5211013246,3,[r2+= r0, r2+= r1, r2+= r0]
24050.5211013246,3,[r0+= r0, r2+= r1, r2+= r0]
